comment,true_emotion,pred_emotion,confidence,correct
বৃদ্ধ শিশু গর্ভবতী নারী ও প্রতিবন্ধীদের জন্য জরুরী সেবা প্রদান নিশ্চিত করা না হলে আসলে তা কখনও সেবা হিসেবে গন্য হয়না,CON,GP,0.533,False
"আহ জীবন, কোনো নিসচয়তা নেই।",GN,GP,0.533,False
"Vai apnara ay exam diyan na,,ata akta faltu cakri,,ara bola akta kora r akta,,ader kono sothek noiyom nai,,kothar o thek nai",ANG,GP,0.533,False
মাত্র হাতে পেলাম অনেক সুন্দর একটা প্রোডাক্ট,NEU,GP,0.533,False
বিস্তারিত ঠিকানা ফোন নাম্বার দিলে ভালো হত।,CON,GP,0.533,False
আহা সেই কল সেন্টারের দিনগুলো। রোজার ইফতারের মাঝখানেও কল। ঈদের দিনেও ছিলো ডিউটি,GN,GP,0.533,False
Joke of the year,SAR,GP,0.533,False
ata ki available please reply dear,NEU,GP,0.533,False
এত গুলা হত্যার একটাও বিচার করলেন না।,ANG,GP,0.533,False
মিডিয়ার সবগুলোই নেশাখোর,GN,GP,0.533,False
বইন তুই মাল খুর বহু আগের থিকা ই,SAR,GP,0.532,False
মুরুব্বি সমাজের গান 😂,SAR,GP,0.532,False
"শাহাবুদ্দিন চুপ্পু অনেকটা পানির মতো, যার নিজস্ব কোনো রং নাই, যে পাত্রে যায় তার রং ধারণ করে",SAR,GP,0.532,False
"পোস্ট একটা দিলেন, মানে দেয়ার দরকার তাই দিলেন। স্থানীয় জনসাধারণের মতে ঐ রুটে নৌবাহিনী গাড়ি গুলো অত্যন্ত রাফলি চালায়। সেটা নিয়ে তো কিছু বললেন না।",PA,GP,0.532,False
তো দেশ এখন মেট্রোরেল হইছে ভূ---------ম সেই গতি,SAR,GP,0.532,False
তাদের উচিত শুধু বৃদ্ধদের জন্য আলাদা একটি লাইন করে দেওয়া,CON,GP,0.532,False
কাকু দেশের মানুষের টাকায় যে তুমি গ্রামীন ব্যাংকের কর মওকুফ করে দিলা এখন দেশের মানুষের কি হবে,ANG,GP,0.532,False
"কতো টাকা দালালি খেয়ে ভিডিওটা পাবলিশ করছো?? তোমার দালালির কারণে কতো মানুষের পকেট কাটা যাবে, সেটা কি একবার ভাবছো??",ANG,GP,0.532,False
অথচ আমরা এত কিছু পেয়েও সন্তুষ্ট না 😪,CON,GP,0.532,False
Apu tmr moto amr uporar layer ta hy nh kno,CON,GP,0.532,False
শেষ ভালো যার সব ভালো তার আপনার শেষটা ভালো ছিলোনা বিশেষ করে নির্বাচন টা,GN,GP,0.532,False
শোরুম কোথায়?,NEU,GP,0.532,False
That was brilliant run out? Seriously,SAR,GP,0.532,False
দলীয় মতভেদ থাকবেই তার মানে এই নয় যে সবার কথাই ভিত্তিহীন। নতুন বাংলাদেশ বিনির্মানের প্রত্যাশায় সবার জন্য শুভ কামনা,ANG,GP,0.532,False
ডেলিভারি চার্জ কত,NEU,GP,0.532,False
এত বড় একটা মেশিন গান এক হাতে লইয়া যাইতাচে কি শক্তি😂😂😂😂,SAR,GP,0.532,False
থাক এমনি দোকানে ২০০ দিয়ে পাওয়া যায় ৫০ টাকা কমাতে গিয়ে ডেলিভারি চার্জ ৭০ দেওয়া বিলাসিতা,SAR,GP,0.532,False
Brothers are separated after only second match,SAR,GP,0.532,False
মানুষ গো এভাবে ঠকায় না বুঝছেন,ANG,GP,0.532,False
সব দেশে নাকি শুধু বাংলাদেশে,CON,GP,0.532,False
"We lost you because of some selfish people, but my respect for you will always remain in my heart",GN,GP,0.532,False
Vai Dinajpur a kotai exam hoi janan kau?,NEU,GP,0.532,False
১১ বছর বাচ্চা ইউজ করতে পারবে?,NEU,GP,0.532,False
এখানে হায়াতের কথা তুলবো নাকি এইযে অনিরাপদ ব্যবস্থাপনা?,CON,GP,0.532,False
ফ্যাসিবাদের পথে চলেন না,ANG,GP,0.532,False
আমি এই অফারটা নিতে চাচ্ছি। তো আমার প্রশ্ন হলো ১২৯৯ টাকায় ৮+৮= ১৬ পিস ক্রিস্পি বাকেট পাবো। এখন আমি এই অফারটা নিলে কি ১২৯৯ টাকার দুইটা বাকেট পাবো মানে ১৬+১৬ টোটাল ৩২ টা। আমাকে ক্লিয়ার করেন।,NEU,GP,0.532,False
আগামীকাল বৃহস্পতিবার ১৯ তারিখ কি কোন লিখিত ভাইভা পরীক্ষা আছে? পদের নাম সাব এসিস্ট্যান্ট ইঞ্জিনিয়ার ডিপ্লোমা ইন কম্পিউটার।,NEU,GP,0.532,False
Ki ki thakbe?,NEU,GP,0.531,False
বিএনপি এককালীন ক্ষমতায় থাকতে চাচ্ছেন এজন্য সংস্কার সংবিধানে সাইন করছে না আওয়ামীলীগ কপি।,ANG,GP,0.531,False
Uner kono khoj pawa gele janaben pls 🙏,NEU,GP,0.531,False
Two cunning brothers playing a cunning cricket match,SAR,GP,0.531,False
৬০ বছরের বেশি বয়স হইলে কোন কিছুর মধ্যে বুড়ো লোকের লাইন লাগে না৷ বিদেশে সব জায়গায় ভিআইপি হিসাবে চলে যায়৷ আর বাংলাদেশের অবস্থা হলো গায়ের জোর যার বেশি সেই সব৷,ANG,GP,0.531,False
Pakistani team was doing drama in t20 world cup for bangladesh,GN,GP,0.531,False
আপনাদের এই পেইজটি কি অফিসিয়াল।,NEU,GP,0.531,False
বাবা খাইছে এটা বুঝা যাচ্ছে,SAR,GP,0.531,False
Mane ki 149 tk 2 ta?,NEU,GP,0.531,False
পাকিস্তানের প্লেয়ারের চাইতে একটা দর্শক ক্রিকেট খেলার নিয়ম সম্বন্ধে ভালো জানে,SAR,GP,0.531,False
Kivabe kombo make korbo,NEU,GP,0.531,False
2ta nile ki 499tk ? bujhinai bisoita!,NEU,GP,0.53,False
বাটপারি 😗,GN,GP,0.53,False
ছোটলোক!,ANG,GP,0.53,False
And they criticized Ashwin,SAR,GP,0.53,False
6/7 ta dress nibo apo,NEU,GP,0.53,False
Compared with many other cricket-playing nations Bangladesh sometimes approaches the game in an unsportsmanlike manner lacking discipline traditionally associated with cricket.,SAR,GP,0.53,False
Unemployment rate in Bangladesh at its peak,SAR,GP,0.53,False
ডেলিভারি চার্জ কত সারা দেশে?,NEU,GP,0.53,False
কেমনে সম্ভব ৯৯ টাকায়?,CON,GP,0.529,False
"এইগুলো সরকার ভাবে না, সাধারণ মানুষরাই এই কষ্ট পায়, বাংলাদেশে আইন যারা রক্ষা করবে তারাই হচ্ছে টাকার পাগল",ANG,GP,0.529,False
When traitor meets traitor,SAR,GP,0.529,False
No need to wonder. This is real Bangladesh cricket,SAR,GP,0.529,False
কিন্তু জনগণের রায়কে পুর্নাঙ্গ রুপ দিতে পারলেন না।,GN,GP,0.529,False
Dhaka delivery charg koto,NEU,GP,0.509,False
